# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359998,257,3,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359998,349,5,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00
359998,378,6,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00 L1_SingleJet200/1.00
359998,450,7,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359998,579,8,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00
359998,720,9,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359998,860,10,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359998,1032,11,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359998,1219,12,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00
359998,1450,13,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00
359998,1722,14,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00 L1_SingleJet200/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
360017,1,3,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
360017,42,10,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
360017,50,11,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
360019,1,3,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
