# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357330,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357331,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357332,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357332,120,10,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357333,1,10,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357401,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357401,196,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357401,212,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357401,557,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357406,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357406,60,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357406,116,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357438,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357438,110,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357438,148,1,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357440,1,1,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357440,5,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357440,49,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357441,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357442,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357442,344,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357442,944,11,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357442,1341,13,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357442,1347,11,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357447,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357447,46,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357472,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357478,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357479,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357479,32,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357479,38,1,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357479,308,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357479,343,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357482,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357482,42,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357538,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357542,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357542,35,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357542,52,2,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357542,219,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357550,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357550,14,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357610,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357610,96,11,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357610,135,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357610,154,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357611,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357611,399,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357612,1,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357612,486,11,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357613,1,11,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357688,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357688,11,3,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357688,12,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357688,207,7,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357688,293,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357696,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357696,84,7,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357696,90,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357696,99,2,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357696,102,1,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357696,109,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357696,171,2,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357696,305,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357696,378,7,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357696,381,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357697,1,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357697,7,7,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357697,28,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
